NTAName,neighbourhood_group,listings,population0010,population1020
Airport,Queens,0,0,0
Allerton-Pelham Gardens,Bronx,70,1995700,2023210
Annadale-Huguenot-Prince's Bay-Eltingville,Staten Island,10,263760,277700
Arden Heights,Staten Island,4,99984,100952
Astoria,Queens,1209,107748498,95260737
Auburndale,Queens,0,20201,19996
Baisley Park,Queens,0,35729,34603
Bath Beach,Brooklyn,17,485724,508827
Battery Park City-Lower Manhattan,Manhattan,964,19364832,38269836
Bay Ridge,Brooklyn,196,15785644,15556716
Bayside-Bayside Hills,Queens,39,1730469,1708512
Bedford,Brooklyn,3714,219969078,262628082
Bedford Park-Fordham North,Bronx,63,3485727,3428145
Bellerose,Queens,14,342496,354018
Belmont,Bronx,24,623208,657072
Bensonhurst East,Brooklyn,0,58566,62978
Bensonhurst West,Brooklyn,75,6348000,6654525
Borough Park,Brooklyn,136,13743480,14464552
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,70,1869770,1961260
Briarwood-Jamaica Hills,Queens,64,2475200,2504832
Brighton Beach,Brooklyn,75,2643300,2666025
Bronxdale,Bronx,19,651871,675222
Brooklyn Heights-Cobble Hill,Brooklyn,253,5704644,5790411
Brownsville,Brooklyn,61,3605039,3556300
Bushwick North,Brooklyn,0,56093,57138
Bushwick South,Brooklyn,2465,159280905,177728965
Cambria Heights,Queens,26,544544,485602
Canarsie,Brooklyn,147,12503526,12302871
Carroll Gardens-Columbia Street-Red Hook,Brooklyn,354,13567758,13576962
Central Harlem North-Polo Grounds,Manhattan,2657,186032512,200024274
Central Harlem South,Manhattan,0,39075,43383
Charleston-Richmond Valley-Tottenville,Staten Island,8,146656,186504
Chinatown,Manhattan,368,19274000,17606592
Claremont-Bathgate,Bronx,28,788172,870184
Clinton,Manhattan,0,40595,45884
Clinton Hill,Brooklyn,572,19043024,19900452
Co-op City,Bronx,2,81352,87504
College Point,Queens,19,406733,461225
Corona,Queens,64,3333248,3690112
Crotona Park East,Bronx,10,180720,202770
Crown Heights North,Brooklyn,1564,161814568,161356316
Crown Heights South,Brooklyn,0,42370,39670
Cypress Hills-City Line,Brooklyn,135,6609735,6645105
Douglas Manor-Douglaston-Little Neck,Queens,13,316628,321607
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,330,10179510,11383350
Dyker Heights,Brooklyn,12,471984,509028
East Concourse-Concourse Village,Bronx,32,1886752,1993088
East Elmhurst,Queens,185,3918855,4282750
East Flatbush-Farragut,Brooklyn,500,28016500,25177500
East Flushing,Queens,0,26516,26982
East Harlem North,Manhattan,1118,63891464,64865242
East Harlem South,Manhattan,0,56899,57902
East New York,Brooklyn,218,18153950,20046844
East New York (Pennsylvania Ave),Brooklyn,0,27624,29343
East Tremont,Bronx,11,432080,477653
East Village,Manhattan,1853,77355338,81784008
East Williamsburg,Brooklyn,0,31878,34158
Eastchester-Edenwald-Baychester,Bronx,33,1168926,1139061
Elmhurst,Queens,237,20849364,20957199
Elmhurst-Maspeth,Queens,0,24338,25521
Erasmus,Brooklyn,0,31392,29938
Far Rockaway-Bayswater,Queens,46,2223824,2302668
Flatbush,Brooklyn,621,68853375,65704284
Flatlands,Brooklyn,83,5538258,5375246
Flushing,Queens,426,29548212,30675408
Fordham South,Bronx,0,26880,28262
Forest Hills,Queens,144,12246624,12056832
Fort Greene,Brooklyn,489,13855815,12752631
Fresh Meadows-Utopia,Queens,32,555936,569984
Ft. Totten-Bay Terrace-Clearview,Queens,6,136386,130506
Ft. Totten-Bay Terrace-Clearview,Staten Island,2,45462,43502
Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,14,601160,633234
Glen Oaks-Floral Park-New Hyde Park,Queens,0,22426,22571
Glendale,Queens,54,1677834,1754784
Gramercy,Manhattan,338,8850192,9459944
Grasmere-Arrochar-Ft. Wadsworth,Staten Island,29,441902,466291
Gravesend,Brooklyn,68,1989476,2001648
Great Kills,Staten Island,10,416800,407200
Greenpoint,Brooklyn,1115,42170415,38711685
Grymes Hill-Clifton-Fox Hills,Staten Island,22,436348,494120
Hamilton Heights,Manhattan,0,50555,48520
Hammels-Arverne-Edgemere,Queens,88,2784760,3245880
Highbridge,Bronx,27,913788,1018629
Hollis,Queens,14,290458,283766
Homecrest,Brooklyn,0,45679,44316
Hudson Yards-Chelsea-Flatiron-Union Square,Manhattan,1193,66615927,83688950
Hunters Point-Sunnyside-West Maspeth,Queens,363,22486761,22967373
Hunts Point,Bronx,18,452556,489672
Jackson Heights,Queens,186,21078822,20116272
Jamaica,Queens,231,11977119,12416481
Jamaica Estates-Holliswood,Queens,23,599403,586040
Kensington-Ocean Parkway,Brooklyn,175,6463975,6455925
